provider,pincode,city,state,cod_delivery,prepaid_delivery,pickup,zone_group,zone_code
,176316,CHAMBA,HIMACHAL PRADESH,N,N,N,,
,250612,BAGHPAT,UTTAR PRADESH,N,N,N,,
,209859,Lucknow,UTTAR PRADESH,N,N,N,,
,123053,Delhi NCR,DELHI,N,N,N,,
,312626,DEGANA,RAJASTHAN,N,N,N,,
,283126,Agra,UTTAR PRADESH,N,N,N,,
,227407,TIKARMAFI,UTTAR PRADESH,N,N,N,,
,203412,Siyana,UTTAR PRADESH,N,N,N,,
,203201,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,999480,Jaipur,RAJASTHAN,N,N,N,,
,201203,Delhi NCR,DELHI,N,N,N,,
,250621,BAGHPAT,UTTAR PRADESH,N,N,N,,
,272203,Naugarh,UTTAR PRADESH,N,N,N,,
,341259,DEGANA,RAJASTHAN,N,N,N,,
,272208,Naugarh,UTTAR PRADESH,N,N,N,,
,344034,Baytu,RAJASTHAN,N,N,N,,
,341541,DEGANA,RAJASTHAN,N,N,N,,
,174035,Ghumarwin,HIMACHAL PRADESH,N,N,N,,
,283101,Agra,UTTAR PRADESH,N,N,N,,
,136128,Pehwa,HARYANA,Y,Y,N,,
,203135,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,335062,SANGARIA,HARYANA,N,N,N,,
,341549,DEGANA,RAJASTHAN,N,N,N,,
,283115,Agra,UTTAR PRADESH,N,N,N,,
,342022,Balesar,RAJASTHAN,N,N,N,,
,246424,Chamoli,UTTARAKHAND,N,N,N,,
,312624,DEGANA,RAJASTHAN,N,N,N,,
,283104,Agra,UTTAR PRADESH,N,N,N,,
,283124,Agra,UTTAR PRADESH,N,N,N,,
,203209,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,176319,Sundla,HIMACHAL PRADESH,N,N,N,,
,302009,Jaipur,RAJASTHAN,N,N,N,,
,176321,CHAMBA,HIMACHAL PRADESH,N,N,N,,
,999999,Surat,GUJARAT,N,N,N,,
,312627,DEGANA,RAJASTHAN,N,N,N,,
,246401,Chamoli,UTTARAKHAND,N,N,N,,
,203403,Siyana,UTTAR PRADESH,N,N,N,,
,132107,Madlauda HR,HARYANA,N,N,N,,
,303209,DEGANA,RAJASTHAN,N,N,N,,
,301412,Bansur,RAJASTHAN,N,N,N,,
,176032,Jawali,HIMACHAL PRADESH,N,N,N,,
,203202,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,243633,BISAULI,UTTAR PRADESH,N,N,N,,
,151507,Talwandi,PUNJAB,N,N,N,,
,203141,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,272204,Naugarh,UTTAR PRADESH,N,N,N,,
,250606,BAGHPAT,UTTAR PRADESH,N,N,N,,
,152113,MALOUT,PUNJAB,N,N,N,,
,999471,Jaipur,RAJASTHAN,N,N,N,,
,999485,Jaipur,RAJASTHAN,N,N,N,,
,192231,Anantnag,JAMMU AND KASHMIR,N,N,N,,
,331029,Taranagar,RAJASTHAN,N,N,N,,
,283102,Agra,UTTAR PRADESH,N,N,N,,
,152115,MALOUT,PUNJAB,N,N,N,,
,221006,VARANASI,UTTAR PRADESH,N,N,N,,
,274203,Bharkulwa,UTTAR PRADESH,N,N,N,,
,176317,Sundla,HIMACHAL PRADESH,N,N,N,,
,272207,Naugarh,UTTAR PRADESH,N,N,N,,
,202281,Atrauli,UTTAR PRADESH,N,N,N,,
,341531,DEGANA,RAJASTHAN,N,N,N,,
,335027,Keshrisinghpur,RAJASTHAN,N,N,N,,
,250619,BAGHPAT,UTTAR PRADESH,N,N,N,,
,176030,Jawali,HIMACHAL PRADESH,N,N,N,,
,341534,DEGANA,RAJASTHAN,N,N,N,,
,999477,Delhi NCR,DELHI,N,N,N,,
,203402,Siyana,UTTAR PRADESH,N,N,N,,
,283111,Agra,UTTAR PRADESH,N,N,N,,
,136129,Pehwa,HARYANA,N,N,N,,
,250620,BAGHPAT,UTTAR PRADESH,N,N,N,,
,341530,DEGANA,RAJASTHAN,N,N,N,,
,243723,BISAULI,UTTAR PRADESH,N,N,N,,
,192232,Anantnag,JAMMU AND KASHMIR,N,N,N,,
,250615,BAGHPAT,UTTAR PRADESH,N,N,N,,
,272127,Harraiya,UTTAR PRADESH,N,N,N,,
,203203,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,151111,Barnala,PUNJAB,N,N,N,,
,233226,ZANGIPUR,UTTAR PRADESH,N,N,N,,
,203155,Jhajhar UP,UTTAR PRADESH,N,N,N,,
,250623,BAGHPAT,UTTAR PRADESH,N,N,N,,
,176312,Sundla,HIMACHAL PRADESH,N,N,N,,
,342312,Osian,RAJASTHAN,N,N,N,,
,999044,Hyderabad,TELANGANA,N,N,N,,
,232001,Bundi,RAJASTHAN,N,N,N,,
,222143,Mungra Badshahpur,UTTAR PRADESH,N,N,N,,
,999475,Jaipur,RAJASTHAN,N,N,N,,
,127309,Charkhi Dadri,HARYANA,N,N,N,,
,176308,Sundla,HIMACHAL PRADESH,N,N,N,,
,136136,KURUKSHETRA,HARYANA,N,N,N,,
,121011,Delhi NCR,DELHI,N,N,N,,
,312625,DEGANA,RAJASTHAN,N,N,N,,
,673516,Kuttiady,KERALA,N,N,N,,
,639136,Karur,TAMIL NADU,N,N,N,,
,591262,ATHANI,KARNATAKA,N,N,N,,
,682029,THOPPUMPADI,KERALA,N,N,N,,
,571121,H D KOTE,KARNATAKA,N,N,N,,
,673542,AYANCHERY,KERALA,N,N,N,,
,586210,Korthi Kolar,KARNATAKA,N,N,N,,
,573159,Channarayapatna,KARNATAKA,N,N,N,,
,586154,ATHANI,KARNATAKA,N,N,N,,
,587301,Jamkhandi,KARNATAKA,N,N,N,,
,591256,ATHANI,KARNATAKA,N,N,N,,
,673544,AYANCHERY,KERALA,N,N,N,,
,583217,Holala,KARNATAKA,N,N,N,,
,626119,Muthuramanapatti,TAMIL NADU,N,N,N,,
,626104,Muthuramanapatti,TAMIL NADU,N,N,N,,
,583126,HOSAHALLI,KARNATAKA,N,N,N,,
,686605,Kottayam,KERALA,N,N,N,,
,572218,HULIYAR,KARNATAKA,N,N,N,,
,682006,THOPPUMPADI,KERALA,N,N,N,,
,682004,THOPPUMPADI,KERALA,N,N,N,,
,583122,Sirguppa,KARNATAKA,N,N,N,,
,638752,Erode,TAMIL NADU,N,N,N,,
,591327,ATHANI,KARNATAKA,N,N,N,,
,606109,Ulundurpettai,TAMIL NADU,N,N,N,,
,591184,ATHANI,KARNATAKA,N,N,N,,
,591248,ATHANI,KARNATAKA,N,N,N,,
,591501,ATHANI,KARNATAKA,N,N,N,,
,639113,Karur,TAMIL NADU,N,N,N,,
,572113,BANGALORE,KARNATAKA,N,N,N,,
,591322,ATHANI,KARNATAKA,N,N,N,,
,673511,Kuttiady,KERALA,N,N,N,,
,591230,ATHANI,KARNATAKA,N,N,N,,
,670614,Valiyannur,KERALA,N,N,N,,
,682008,THOPPUMPADI,KERALA,N,N,N,,
,562104,BANGALORE,KARNATAKA,N,N,N,,
,606205,KALLAKURUCHI,TAMIL NADU,N,N,N,,
,562121,Harohalli,KARNATAKA,N,N,N,,
,591147,BAILHONGAL,KARNATAKA,N,N,N,,
,682003,THOPPUMPADI,KERALA,N,N,N,,
,673518,Kuttiady,KERALA,N,N,N,,
,587206,Ramdurg,KARNATAKA,N,N,N,,
,591265,ATHANI,KARNATAKA,N,N,N,,
,638055,VIJAYAMANGALAM,TAMIL NADU,N,N,N,,
,639109,Karur,TAMIL NADU,N,N,N,,
,591328,ATHANI,KARNATAKA,N,N,N,,
,673512,Kuttiady,KERALA,N,N,N,,
,673309,Mahe,KERALA,N,N,N,,
,591121,BAILHONGAL,KARNATAKA,N,N,N,,
,562300,DEVANAHALLI,KARNATAKA,N,N,N,,
,591249,ATHANI,KARNATAKA,N,N,N,,
,673027,KOZHIKODE,KERALA,N,N,N,,
,591341,ATHANI,KARNATAKA,N,N,N,,
,625701,Muthuramanapatti,TAMIL NADU,N,N,N,,
,636303,METTUR,TAMIL NADU,N,N,N,,
,571114,H D KOTE,KARNATAKA,N,N,N,,
,682010,THOPPUMPADI,KERALA,N,N,N,,
,577245,Bhadravathi,KARNATAKA,N,N,N,,
,625707,Muthuramanapatti,TAMIL NADU,N,N,N,,
,572135,BANGALORE,KARNATAKA,N,N,N,,
,682007,THOPPUMPADI,KERALA,N,N,N,,
